,count,mean,std,min,25%,50%,75%,max
R_basementsqft,90275.0,713.581395349935,9.435306984474192,100.0,713.5813953488372,713.5813953488372,713.5813953488372,1555.0
R_bathroomcnt,90275.0,2.2794738299639987,1.004270987707417,0.0,2.0,2.0,3.0,20.0
R_bedroomcnt,90275.0,3.0318692882857934,1.1564355198672145,0.0,2.0,3.0,4.0,16.0
R_calculatedbathnbr,90275.0,2.3092162122726196,0.9697606987482686,1.0,2.0,2.0,3.0,20.0
R_calculatedfinishedsquarefeet,90275.0,1773.1859865646265,924.7580762213162,2.0,1187.0,1547.0,2089.0,22741.0
R_finishedfloor1squarefeet,90275.0,1347.974037338044,179.77764626844024,44.0,1347.9740373395566,1347.9740373395566,1347.9740373395566,7625.0
R_finishedsquarefeet12,90275.0,1745.454530585409,886.045793195691,2.0,1190.0,1561.0,2013.0,20013.0
R_finishedsquarefeet13,90275.0,1404.5454545466087,2.073067071534931,1056.0,1404.5454545454545,1404.5454545454545,1404.5454545454545,1584.0
R_finishedsquarefeet15,90275.0,2380.090067336122,212.21792383085136,560.0,2380.0900673400674,2380.0900673400674,2380.0900673400674,22741.0
R_finishedsquarefeet50,90275.0,1355.5466744453552,185.6483878588048,44.0,1355.546674445741,1355.546674445741,1355.546674445741,8352.0
R_finishedsquarefeet6,90275.0,2302.5463182920407,91.82706625802793,257.0,2302.546318289786,2302.546318289786,2302.546318289786,7224.0
R_fireplacecnt,90275.0,1.1878838347038296,0.15793932712177688,1.0,1.1878838347038618,1.1878838347038618,1.1878838347038618,5.0
R_fullbathcnt,90275.0,2.241231073148366,0.9568154120430252,1.0,2.0,2.0,3.0,20.0
R_garagecarcnt,90275.0,1.812005210943537,0.35055975683297386,0.0,1.8120052109429803,1.8120052109429803,2.0,24.0
R_garagetotalsqft,90275.0,345.52122791163794,153.76330117339617,0.0,345.5212279119484,345.5212279119484,345.5212279119484,7339.0
R_landtaxvaluedollarcnt,90275.0,278335.3250216009,400493.2466649102,22.0,82228.0,192980.0,345415.0,24500000.0
R_latitude,90275.0,34005410.6936915,264965.37555689923,33339295.0,33811538.5,34021500.0,34172742.0,34816009.0
R_longitude,90275.0,-118198868.30685128,360603.1997035562,-119447865.0,-118411692.5,-118173431.0,-117921588.5,-117554924.0
R_lotsizesquarefeet,90275.0,29110.164176609862,114674.42757262471,167.0,5962.0,7570.0,22125.0,6971010.0
R_numberofstories,90275.0,1.4407389402040658,0.2599092000216892,1.0,1.4407389402041808,1.4407389402041808,1.4407389402041808,4.0
R_poolcnt,90275.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
R_poolsizesum,90275.0,519.82765737908,16.056093867578493,28.0,519.8276573787409,519.8276573787409,519.8276573787409,1750.0
R_roomcnt,90275.0,1.4785156466352811,2.8196270435217508,0.0,0.0,0.0,0.0,18.0
R_structuretaxvaluedollarcnt,90275.0,180093.3937482601,208689.26759290416,100.0,81490.0,132597.0,210042.5,9948100.0
R_taxamount,90275.0,5983.975926730081,6838.649681863549,49.08,2872.885,4543.02,6900.6,321936.09
R_taxvaluedollarcnt,90275.0,457672.627356714,554881.3255995162,22.0,199023.5,342872.0,540589.0,27750000.0
R_threequarterbathnbr,90275.0,1.0087434424190889,0.03677429581859736,1.0,1.0087434424181863,1.0087434424181863,1.0087434424181863,4.0
R_unitcnt,90275.0,1.110414203211919,0.6409631022086113,1.0,1.0,1.0,1.1104142032114888,143.0
R_yardbuildingsqft17,90275.0,310.1421012844161,37.09661067693071,25.0,310.1421012849584,310.1421012849584,310.1421012849584,2678.0
R_yardbuildingsqft26,90275.0,311.694736842067,11.176449435876032,18.0,311.69473684210527,311.69473684210527,311.69473684210527,1366.0
